timestamp,participant_ID,experimenter_ID_code,experimenter_ASGS_total_score,laboratory_ID_code,sitePI_ASGS_total_score,session_type,consent_screen_answer,refused_to_answer_sexual_orientation_question,age,sex,final_consent,ESP_Q_item_1,ESP_Q_item_2,ESP_Q_item_3,SS_Q_item_1,SS_Q_item_2,trial_number,guessed_side,target_side,reward_type,sides_match
"671e1c7669ade10ac726159dd1937b2da18ae400bee52287c9222f983f896536 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.77 Safari/537.36 Edg/91.0.864.41",08bc7bf8-ef30-42ff-8386-9a879a276ba6,9dfd16e752224506d8faab62b5014abebb060ce7a99533f11c1ce147721130e0,3,a795eddace291edab4121f21799f93cdea96b4e811dfba14cf166cece3c7af06,0,live,yes,no,18-29,Male,yes,Probably does,Probably yes,Regularly in the past,untrue,untrue,5,right,right,neutral,true
"d67dbaea0bc63ad6858705327f6f1fe09d662239da57879e835f9927a0c8b3be Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.77 Safari/537.36 Edg/91.0.864.41",08bc7bf8-ef30-42ff-8386-9a879a276ba6,9dfd16e752224506d8faab62b5014abebb060ce7a99533f11c1ce147721130e0,3,a795eddace291edab4121f21799f93cdea96b4e811dfba14cf166cece3c7af06,0,live,yes,no,18-29,Male,yes,Probably does,Probably yes,Regularly in the past,untrue,untrue,6,right,left,erotic,false
"d3b0902d22fa96b18a45cf65cb6777f52b712b4551208a64df2e8ce09f67bfbc Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.77 Safari/537.36 Edg/91.0.864.41",08bc7bf8-ef30-42ff-8386-9a879a276ba6,9dfd16e752224506d8faab62b5014abebb060ce7a99533f11c1ce147721130e0,3,a795eddace291edab4121f21799f93cdea96b4e811dfba14cf166cece3c7af06,0,live,yes,no,18-29,Male,yes,Probably does,Probably yes,Regularly in the past,untrue,untrue,7,right,left,neutral,false
"b823cce75a6a91318ba57d0c6c384659566d930397359e3d8395d13365b56a4a Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.77 Safari/537.36 Edg/91.0.864.41",08bc7bf8-ef30-42ff-8386-9a879a276ba6,9dfd16e752224506d8faab62b5014abebb060ce7a99533f11c1ce147721130e0,3,a795eddace291edab4121f21799f93cdea96b4e811dfba14cf166cece3c7af06,0,live,yes,no,18-29,Male,yes,Probably does,Probably yes,Regularly in the past,untrue,untrue,8,left,right,erotic,false
"aab429fa4a3331383f976a71878f3fc7576433b56bf0a627c8f1a0f7a0469d21 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.77 Safari/537.36 Edg/91.0.864.41",08bc7bf8-ef30-42ff-8386-9a879a276ba6,9dfd16e752224506d8faab62b5014abebb060ce7a99533f11c1ce147721130e0,3,a795eddace291edab4121f21799f93cdea96b4e811dfba14cf166cece3c7af06,0,live,yes,no,18-29,Male,yes,Probably does,Probably yes,Regularly in the past,untrue,untrue,9,right,left,erotic,false
"edee0c591a27e2a6f9ad1524afaa18b3d46955c6f3633366fe10e84e320550d3 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.77 Safari/537.36 Edg/91.0.864.41",08bc7bf8-ef30-42ff-8386-9a879a276ba6,9dfd16e752224506d8faab62b5014abebb060ce7a99533f11c1ce147721130e0,3,a795eddace291edab4121f21799f93cdea96b4e811dfba14cf166cece3c7af06,0,live,yes,no,18-29,Male,yes,Probably does,Probably yes,Regularly in the past,untrue,untrue,10,right,left,neutral,false
"d04cd52d10591baf18cc54f77e13b79d6d605208371467b62f0ccc42c476bb37 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.77 Safari/537.36 Edg/91.0.864.41",08bc7bf8-ef30-42ff-8386-9a879a276ba6,9dfd16e752224506d8faab62b5014abebb060ce7a99533f11c1ce147721130e0,3,a795eddace291edab4121f21799f93cdea96b4e811dfba14cf166cece3c7af06,0,live,yes,no,18-29,Male,yes,Probably does,Probably yes,Regularly in the past,untrue,untrue,11,left,left,neutral,true
"c3e6e3fa72a2a975c0d39c246b1ee87b075bb9faa010f374d10d8ce32ec2a87f Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.77 Safari/537.36 Edg/91.0.864.41",08bc7bf8-ef30-42ff-8386-9a879a276ba6,9dfd16e752224506d8faab62b5014abebb060ce7a99533f11c1ce147721130e0,3,a795eddace291edab4121f21799f93cdea96b4e811dfba14cf166cece3c7af06,0,live,yes,no,18-29,Male,yes,Probably does,Probably yes,Regularly in the past,untrue,untrue,12,left,left,erotic,true
"e8c3948f667180aa185e333b2b19ca9ae265a6b2949846d1863524d9428dd730 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.77 Safari/537.36 Edg/91.0.864.41",08bc7bf8-ef30-42ff-8386-9a879a276ba6,9dfd16e752224506d8faab62b5014abebb060ce7a99533f11c1ce147721130e0,3,a795eddace291edab4121f21799f93cdea96b4e811dfba14cf166cece3c7af06,0,live,yes,no,18-29,Male,yes,Probably does,Probably yes,Regularly in the past,untrue,untrue,13,right,left,erotic,false
"fc63617aed7bbac33366065ee57ddc4da76dc15db0e906ecb85a10a9de5df3a3 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.77 Safari/537.36 Edg/91.0.864.41",08bc7bf8-ef30-42ff-8386-9a879a276ba6,9dfd16e752224506d8faab62b5014abebb060ce7a99533f11c1ce147721130e0,3,a795eddace291edab4121f21799f93cdea96b4e811dfba14cf166cece3c7af06,0,live,yes,no,18-29,Male,yes,Probably does,Probably yes,Regularly in the past,untrue,untrue,14,left,left,neutral,true
