timestamp,participant_ID,experimenter_ID_code,experimenter_ASGS_total_score,laboratory_ID_code,sitePI_ASGS_total_score,session_type,consent_screen_answer,refused_to_answer_sexual_orientation_question,age,sex,final_consent,ESP_Q_item_1,ESP_Q_item_2,ESP_Q_item_3,SS_Q_item_1,SS_Q_item_2,trial_number,guessed_side,target_side,reward_type,sides_match
"05343aa3b65b0a758c82164c2951a204fda7701d0724c415240b9c89f96e5141 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",f9334cdc-c8d3-4334-b3c9-5485e09c839f,4fa9db73bc719daec44571384bf9a707bad2c11a3f6c64cd3ab4c273b1ad9455,22,02057340947b3f91939e2612407db1f084af6807c11d9c728d8f188afb28596f,23,live,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"f289423d85721ecc65f06a0756bc4bcc95caa0f79925e0ae1d7f1736c557a13b Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",f9334cdc-c8d3-4334-b3c9-5485e09c839f,4fa9db73bc719daec44571384bf9a707bad2c11a3f6c64cd3ab4c273b1ad9455,22,02057340947b3f91939e2612407db1f084af6807c11d9c728d8f188afb28596f,23,live,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7d9c54b90adc5b622089719cbd01189a879e41324c52c92ee1571555dcab8846 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",f9334cdc-c8d3-4334-b3c9-5485e09c839f,4fa9db73bc719daec44571384bf9a707bad2c11a3f6c64cd3ab4c273b1ad9455,22,02057340947b3f91939e2612407db1f084af6807c11d9c728d8f188afb28596f,23,live,yes,no,18-29,Female,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"faec15eb85070c190d63f5f33a4703cbc1ae43307d482cdab968826ae31a7132 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",f9334cdc-c8d3-4334-b3c9-5485e09c839f,4fa9db73bc719daec44571384bf9a707bad2c11a3f6c64cd3ab4c273b1ad9455,22,02057340947b3f91939e2612407db1f084af6807c11d9c728d8f188afb28596f,23,live,yes,no,18-29,Female,yes,Definitely Does not,Probably no,Only a few times,NA,NA,NA,NA,NA,NA,NA
"7fc120866955a30da39761acffcad34cc69d5d3ee865a267d1ce55ffe24d52ac Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",f9334cdc-c8d3-4334-b3c9-5485e09c839f,4fa9db73bc719daec44571384bf9a707bad2c11a3f6c64cd3ab4c273b1ad9455,22,02057340947b3f91939e2612407db1f084af6807c11d9c728d8f188afb28596f,23,live,yes,no,18-29,Female,yes,Definitely Does not,Probably no,Only a few times,true,untrue,NA,NA,NA,NA,NA
"45d4404c8050aabb1ba7e82a385d831b8f413d481110cb0208d35278ada7b523 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",f9334cdc-c8d3-4334-b3c9-5485e09c839f,4fa9db73bc719daec44571384bf9a707bad2c11a3f6c64cd3ab4c273b1ad9455,22,02057340947b3f91939e2612407db1f084af6807c11d9c728d8f188afb28596f,23,live,yes,no,18-29,Female,yes,Definitely Does not,Probably no,Only a few times,true,untrue,1,left,left,erotic,true
"d1a275b5482730a534844a0d82b20844d70c3029ff51dd08c8ad79d6bfd1a1c2 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",f9334cdc-c8d3-4334-b3c9-5485e09c839f,4fa9db73bc719daec44571384bf9a707bad2c11a3f6c64cd3ab4c273b1ad9455,22,02057340947b3f91939e2612407db1f084af6807c11d9c728d8f188afb28596f,23,live,yes,no,18-29,Female,yes,Definitely Does not,Probably no,Only a few times,true,untrue,2,right,left,neutral,false
"76d2e3ae081dc81c870588ec6c87d0f9d0bf470cc6a256120f27bc525bb70c59 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",f9334cdc-c8d3-4334-b3c9-5485e09c839f,4fa9db73bc719daec44571384bf9a707bad2c11a3f6c64cd3ab4c273b1ad9455,22,02057340947b3f91939e2612407db1f084af6807c11d9c728d8f188afb28596f,23,live,yes,no,18-29,Female,yes,Definitely Does not,Probably no,Only a few times,true,untrue,3,right,right,neutral,true
"6376228abd01082f610b31966233ee6b982a4123ea54c3015e5905a713a485a5 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",f9334cdc-c8d3-4334-b3c9-5485e09c839f,4fa9db73bc719daec44571384bf9a707bad2c11a3f6c64cd3ab4c273b1ad9455,22,02057340947b3f91939e2612407db1f084af6807c11d9c728d8f188afb28596f,23,live,yes,no,18-29,Female,yes,Definitely Does not,Probably no,Only a few times,true,untrue,4,left,left,erotic,true
"4bcdc2b66814cec8c1b71f185ebf5e7f535daf5782e016d0ad5bbafe6bc28024 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",f9334cdc-c8d3-4334-b3c9-5485e09c839f,4fa9db73bc719daec44571384bf9a707bad2c11a3f6c64cd3ab4c273b1ad9455,22,02057340947b3f91939e2612407db1f084af6807c11d9c728d8f188afb28596f,23,live,yes,no,18-29,Female,yes,Definitely Does not,Probably no,Only a few times,true,untrue,5,left,right,erotic,false
"4200afe62188d12da2ea89e39d6211ff4976bec762acc67fabe7e5f9094eb8b8 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",f9334cdc-c8d3-4334-b3c9-5485e09c839f,4fa9db73bc719daec44571384bf9a707bad2c11a3f6c64cd3ab4c273b1ad9455,22,02057340947b3f91939e2612407db1f084af6807c11d9c728d8f188afb28596f,23,live,yes,no,18-29,Female,yes,Definitely Does not,Probably no,Only a few times,true,untrue,6,left,left,neutral,true
"88b3e4fb4c994cd74af4d9599111b445db7d4c59f36e9f01ccac8d5ab2a46ef9 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",f9334cdc-c8d3-4334-b3c9-5485e09c839f,4fa9db73bc719daec44571384bf9a707bad2c11a3f6c64cd3ab4c273b1ad9455,22,02057340947b3f91939e2612407db1f084af6807c11d9c728d8f188afb28596f,23,live,yes,no,18-29,Female,yes,Definitely Does not,Probably no,Only a few times,true,untrue,7,right,left,neutral,false
"6ce937ec5f979215a7fa09170a7738d8f17613c6502d127d350bd78f98121fb7 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",f9334cdc-c8d3-4334-b3c9-5485e09c839f,4fa9db73bc719daec44571384bf9a707bad2c11a3f6c64cd3ab4c273b1ad9455,22,02057340947b3f91939e2612407db1f084af6807c11d9c728d8f188afb28596f,23,live,yes,no,18-29,Female,yes,Definitely Does not,Probably no,Only a few times,true,untrue,8,right,left,neutral,false
"22fc3125fe11989d1ea94c9f532ca3d4e20add01eb44bf723070fe7a69628dd1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",f9334cdc-c8d3-4334-b3c9-5485e09c839f,4fa9db73bc719daec44571384bf9a707bad2c11a3f6c64cd3ab4c273b1ad9455,22,02057340947b3f91939e2612407db1f084af6807c11d9c728d8f188afb28596f,23,live,yes,no,18-29,Female,yes,Definitely Does not,Probably no,Only a few times,true,untrue,9,left,right,erotic,false
