timestamp,participant_ID,experimenter_ID_code,experimenter_ASGS_total_score,laboratory_ID_code,sitePI_ASGS_total_score,session_type,consent_screen_answer,refused_to_answer_sexual_orientation_question,age,sex,final_consent,ESP_Q_item_1,ESP_Q_item_2,ESP_Q_item_3,SS_Q_item_1,SS_Q_item_2,trial_number,guessed_side,target_side,reward_type,sides_match
"7c776ac0451e806429e271e5fff9ad90f99068897694d629de92bdd5d992c56c Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.163 Safari/537.36",49009e4a-b90c-49c6-81e5-131698a308d1,4fa9db73bc719daec44571384bf9a707bad2c11a3f6c64cd3ab4c273b1ad9455,22,02057340947b3f91939e2612407db1f084af6807c11d9c728d8f188afb28596f,23,live,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55feded09c6ba1e32986f3d6a2aeb0d441263baa8b735907e0adc1350fe8185d Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.163 Safari/537.36",49009e4a-b90c-49c6-81e5-131698a308d1,4fa9db73bc719daec44571384bf9a707bad2c11a3f6c64cd3ab4c273b1ad9455,22,02057340947b3f91939e2612407db1f084af6807c11d9c728d8f188afb28596f,23,live,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3a536148ceeab5b63cf56945ffd5d8a7e9edd4152af88f1a57865f5c011ebe2f Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.163 Safari/537.36",49009e4a-b90c-49c6-81e5-131698a308d1,4fa9db73bc719daec44571384bf9a707bad2c11a3f6c64cd3ab4c273b1ad9455,22,02057340947b3f91939e2612407db1f084af6807c11d9c728d8f188afb28596f,23,live,yes,no,45-59,Female,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5e518750ea4acc1adac9acf49c73e3cbc17f8ce6c5e8c4e4e3547416985a1514 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.163 Safari/537.36",49009e4a-b90c-49c6-81e5-131698a308d1,4fa9db73bc719daec44571384bf9a707bad2c11a3f6c64cd3ab4c273b1ad9455,22,02057340947b3f91939e2612407db1f084af6807c11d9c728d8f188afb28596f,23,live,yes,no,45-59,Female,yes,Definitely does,Definitely yes,Only a few times,NA,NA,NA,NA,NA,NA,NA
"47475d3112fab23ddb412dd8d041aecf66dc18ea39108efb71e679b6c9b09ce2 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.163 Safari/537.36",49009e4a-b90c-49c6-81e5-131698a308d1,4fa9db73bc719daec44571384bf9a707bad2c11a3f6c64cd3ab4c273b1ad9455,22,02057340947b3f91939e2612407db1f084af6807c11d9c728d8f188afb28596f,23,live,yes,no,45-59,Female,yes,Definitely does,Definitely yes,Only a few times,untrue,untrue,NA,NA,NA,NA,NA
"45ae3b158a6fed0f96052fb8bd04d66ffa891e411446c27d58f21389a2ac98ad Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.163 Safari/537.36",49009e4a-b90c-49c6-81e5-131698a308d1,4fa9db73bc719daec44571384bf9a707bad2c11a3f6c64cd3ab4c273b1ad9455,22,02057340947b3f91939e2612407db1f084af6807c11d9c728d8f188afb28596f,23,live,yes,no,45-59,Female,yes,Definitely does,Definitely yes,Only a few times,untrue,untrue,1,right,right,neutral,true
"10e45e57c432641f1a6c6780f04be93a55837c7681c0a0555401ba830ccd39f9 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.163 Safari/537.36",49009e4a-b90c-49c6-81e5-131698a308d1,4fa9db73bc719daec44571384bf9a707bad2c11a3f6c64cd3ab4c273b1ad9455,22,02057340947b3f91939e2612407db1f084af6807c11d9c728d8f188afb28596f,23,live,yes,no,45-59,Female,yes,Definitely does,Definitely yes,Only a few times,untrue,untrue,2,left,left,erotic,true
"bfe2e2e430e3e33bb428685e393ca21267174b2d230ff7f19229bd1afa97b030 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.163 Safari/537.36",49009e4a-b90c-49c6-81e5-131698a308d1,4fa9db73bc719daec44571384bf9a707bad2c11a3f6c64cd3ab4c273b1ad9455,22,02057340947b3f91939e2612407db1f084af6807c11d9c728d8f188afb28596f,23,live,yes,no,45-59,Female,yes,Definitely does,Definitely yes,Only a few times,untrue,untrue,3,right,right,neutral,true
"ed16018925dd923e12a845127581ccc43b82b30d4f18d5138a876639c3eaaeac Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.163 Safari/537.36",49009e4a-b90c-49c6-81e5-131698a308d1,4fa9db73bc719daec44571384bf9a707bad2c11a3f6c64cd3ab4c273b1ad9455,22,02057340947b3f91939e2612407db1f084af6807c11d9c728d8f188afb28596f,23,live,yes,no,45-59,Female,yes,Definitely does,Definitely yes,Only a few times,untrue,untrue,4,left,left,neutral,true
"8989eb8cba4c45cccfd15be2cda06f8e5077c80775f3bbaf8c3b5772090737a9 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.163 Safari/537.36",49009e4a-b90c-49c6-81e5-131698a308d1,4fa9db73bc719daec44571384bf9a707bad2c11a3f6c64cd3ab4c273b1ad9455,22,02057340947b3f91939e2612407db1f084af6807c11d9c728d8f188afb28596f,23,live,yes,no,45-59,Female,yes,Definitely does,Definitely yes,Only a few times,untrue,untrue,5,left,left,neutral,true
