timestamp,participant_ID,experimenter_ID_code,experimenter_ASGS_total_score,laboratory_ID_code,sitePI_ASGS_total_score,session_type,consent_screen_answer,refused_to_answer_sexual_orientation_question,age,sex,final_consent,ESP_Q_item_1,ESP_Q_item_2,ESP_Q_item_3,SS_Q_item_1,SS_Q_item_2,trial_number,guessed_side,target_side,reward_type,sides_match
"ed308bffce915a427bbf1514a605887c2a7eff45659b0c9385b890bdd929a69e Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36",9a07c365-45b0-49c8-900f-d4089b641138,ba32b0c91e6ffaeb899e544cf629d98f85597b2fe0c87e0f1a403cc0f43ad714,5,fff9cb9dcc3ac735fc25a59f424e98278a731c23ccd57276d292996c2ba7784f,5,pilot,yes,no,30-44,Female,yes,Probably does not,Probably no,Occasionally,between true and untrue,very untrue,7,right,left,erotic,false
"920fe5868a5db232ac88d3134c7eb7cc10fc12f41fa28b0829c8c149dcb29957 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36",9a07c365-45b0-49c8-900f-d4089b641138,ba32b0c91e6ffaeb899e544cf629d98f85597b2fe0c87e0f1a403cc0f43ad714,5,fff9cb9dcc3ac735fc25a59f424e98278a731c23ccd57276d292996c2ba7784f,5,pilot,yes,no,30-44,Female,yes,Probably does not,Probably no,Occasionally,between true and untrue,very untrue,8,right,right,neutral,true
"b59972bfeec31c9b74d113124161b49f1d3e98a83564af03c8b9c8cd6b1a9a7f Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36",9a07c365-45b0-49c8-900f-d4089b641138,ba32b0c91e6ffaeb899e544cf629d98f85597b2fe0c87e0f1a403cc0f43ad714,5,fff9cb9dcc3ac735fc25a59f424e98278a731c23ccd57276d292996c2ba7784f,5,pilot,yes,no,30-44,Female,yes,Probably does not,Probably no,Occasionally,between true and untrue,very untrue,9,right,left,neutral,false
"e4f6b3fa889f57cf35670e6b74ae7268b8458a4709eb6b2c88b4d5aea5a2a70f Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36",9a07c365-45b0-49c8-900f-d4089b641138,ba32b0c91e6ffaeb899e544cf629d98f85597b2fe0c87e0f1a403cc0f43ad714,5,fff9cb9dcc3ac735fc25a59f424e98278a731c23ccd57276d292996c2ba7784f,5,pilot,yes,no,30-44,Female,yes,Probably does not,Probably no,Occasionally,between true and untrue,very untrue,10,right,left,neutral,false
"5cd82577dcba09cb3978912994dc18116762eb6705ab1d8fbe3d077682f95f93 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36",9a07c365-45b0-49c8-900f-d4089b641138,ba32b0c91e6ffaeb899e544cf629d98f85597b2fe0c87e0f1a403cc0f43ad714,5,fff9cb9dcc3ac735fc25a59f424e98278a731c23ccd57276d292996c2ba7784f,5,pilot,yes,no,30-44,Female,yes,Probably does not,Probably no,Occasionally,between true and untrue,very untrue,11,right,left,neutral,false
"2d91a1d50c761f5e36e635f2814f7e063c1e992b16b1bac5ca2dc5eb7a983f37 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36",9a07c365-45b0-49c8-900f-d4089b641138,ba32b0c91e6ffaeb899e544cf629d98f85597b2fe0c87e0f1a403cc0f43ad714,5,fff9cb9dcc3ac735fc25a59f424e98278a731c23ccd57276d292996c2ba7784f,5,pilot,yes,no,30-44,Female,yes,Probably does not,Probably no,Occasionally,between true and untrue,very untrue,12,right,right,erotic,true
"334c876ffdf614fa2a8be7cf3d821b85cfe0f0dd826e4c1504cd268970865342 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36",9a07c365-45b0-49c8-900f-d4089b641138,ba32b0c91e6ffaeb899e544cf629d98f85597b2fe0c87e0f1a403cc0f43ad714,5,fff9cb9dcc3ac735fc25a59f424e98278a731c23ccd57276d292996c2ba7784f,5,pilot,yes,no,30-44,Female,yes,Probably does not,Probably no,Occasionally,between true and untrue,very untrue,13,right,left,neutral,false
"708be6e86c6430bb94a5bb1ce2b55ac307ecc6380538fce5371e22a4000b2ac1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36",9a07c365-45b0-49c8-900f-d4089b641138,ba32b0c91e6ffaeb899e544cf629d98f85597b2fe0c87e0f1a403cc0f43ad714,5,fff9cb9dcc3ac735fc25a59f424e98278a731c23ccd57276d292996c2ba7784f,5,pilot,yes,no,30-44,Female,yes,Probably does not,Probably no,Occasionally,between true and untrue,very untrue,14,right,left,neutral,false
"276e52e34d01702fa3706a898951c2f1a3cafd8a6de473cf6062530fa918b952 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36",9a07c365-45b0-49c8-900f-d4089b641138,ba32b0c91e6ffaeb899e544cf629d98f85597b2fe0c87e0f1a403cc0f43ad714,5,fff9cb9dcc3ac735fc25a59f424e98278a731c23ccd57276d292996c2ba7784f,5,pilot,yes,no,30-44,Female,yes,Probably does not,Probably no,Occasionally,between true and untrue,very untrue,15,right,left,erotic,false
"8d655d33272c9df762dc108852e11d825840bafad168c89b0b44cb9749ebb9df Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36",9a07c365-45b0-49c8-900f-d4089b641138,ba32b0c91e6ffaeb899e544cf629d98f85597b2fe0c87e0f1a403cc0f43ad714,5,fff9cb9dcc3ac735fc25a59f424e98278a731c23ccd57276d292996c2ba7784f,5,pilot,yes,no,30-44,Female,yes,Probably does not,Probably no,Occasionally,between true and untrue,very untrue,16,right,right,erotic,true
