timestamp,participant_ID,experimenter_ID_code,experimenter_ASGS_total_score,laboratory_ID_code,sitePI_ASGS_total_score,session_type,consent_screen_answer,refused_to_answer_sexual_orientation_question,age,sex,final_consent,ESP_Q_item_1,ESP_Q_item_2,ESP_Q_item_3,SS_Q_item_1,SS_Q_item_2,trial_number,guessed_side,target_side,reward_type,sides_match
7368103c2cc5f477f9d5772cd025cf683f06059f2c9132debdf2178111437e3b Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:88.0) Gecko/20100101 Firefox/88.0,8eeb34be-897a-4cf4-961c-f96ea2fbdae4,0fc7c45f285831f078bc30a31e4fafa526659f09d38bbeac943b519f51568c34,1,433f5029568ac99adc3f5fe273e43e9a33d41a5ff08d0b42ae7e56f88f056e87,1,pilot,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"fba37db342f775d0b3c91b0e46eb675afaa006587b2f1719b0130025f22309ce Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36",55f315a5-0914-4bff-a47a-c5f9c377b640,ba32b0c91e6ffaeb899e544cf629d98f85597b2fe0c87e0f1a403cc0f43ad714,5,fff9cb9dcc3ac735fc25a59f424e98278a731c23ccd57276d292996c2ba7784f,5,pilot,yes,no,18-29,Male,yes,Probably does not,Probably yes,Occasionally,very true,between true and untrue,7,right,left,erotic,false
"fed84f76dc27da18a01d7812a15cb1211fb912e58d4c42621238db79a3e8fb31 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36",55f315a5-0914-4bff-a47a-c5f9c377b640,ba32b0c91e6ffaeb899e544cf629d98f85597b2fe0c87e0f1a403cc0f43ad714,5,fff9cb9dcc3ac735fc25a59f424e98278a731c23ccd57276d292996c2ba7784f,5,pilot,yes,no,18-29,Male,yes,Probably does not,Probably yes,Occasionally,very true,between true and untrue,8,right,right,neutral,true
"4bc5ed8e3d4115a1fa2802ecbbd887dc5d12206f123ac9e50351b4ea0808d595 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36",55f315a5-0914-4bff-a47a-c5f9c377b640,ba32b0c91e6ffaeb899e544cf629d98f85597b2fe0c87e0f1a403cc0f43ad714,5,fff9cb9dcc3ac735fc25a59f424e98278a731c23ccd57276d292996c2ba7784f,5,pilot,yes,no,18-29,Male,yes,Probably does not,Probably yes,Occasionally,very true,between true and untrue,9,left,right,neutral,false
"38d3125699c348ac72a3a9d331a5a3ad5b5f233301abdde7b594b8e5d55ef224 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36",55f315a5-0914-4bff-a47a-c5f9c377b640,ba32b0c91e6ffaeb899e544cf629d98f85597b2fe0c87e0f1a403cc0f43ad714,5,fff9cb9dcc3ac735fc25a59f424e98278a731c23ccd57276d292996c2ba7784f,5,pilot,yes,no,18-29,Male,yes,Probably does not,Probably yes,Occasionally,very true,between true and untrue,10,left,left,neutral,true
"09156fc87103fa6c7c8ee0bacdb58e18fe0ad6bfeb241169d1447b1ad4b3c2ff Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36",55f315a5-0914-4bff-a47a-c5f9c377b640,ba32b0c91e6ffaeb899e544cf629d98f85597b2fe0c87e0f1a403cc0f43ad714,5,fff9cb9dcc3ac735fc25a59f424e98278a731c23ccd57276d292996c2ba7784f,5,pilot,yes,no,18-29,Male,yes,Probably does not,Probably yes,Occasionally,very true,between true and untrue,11,right,left,erotic,false
"487340311b9499a47164391ff93932be0b47d8875353d50835df26443324dc2d Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36",55f315a5-0914-4bff-a47a-c5f9c377b640,ba32b0c91e6ffaeb899e544cf629d98f85597b2fe0c87e0f1a403cc0f43ad714,5,fff9cb9dcc3ac735fc25a59f424e98278a731c23ccd57276d292996c2ba7784f,5,pilot,yes,no,18-29,Male,yes,Probably does not,Probably yes,Occasionally,very true,between true and untrue,12,left,left,neutral,true
"9e3f6aa291fed570042c2c0e464c7975aaa07949fd625985a27419aad62d83dc Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36",55f315a5-0914-4bff-a47a-c5f9c377b640,ba32b0c91e6ffaeb899e544cf629d98f85597b2fe0c87e0f1a403cc0f43ad714,5,fff9cb9dcc3ac735fc25a59f424e98278a731c23ccd57276d292996c2ba7784f,5,pilot,yes,no,18-29,Male,yes,Probably does not,Probably yes,Occasionally,very true,between true and untrue,13,left,right,neutral,false
"cfde941194f6d62c46726242b0a0068da5a01227f99ebdf79498566f4d2170d7 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36",55f315a5-0914-4bff-a47a-c5f9c377b640,ba32b0c91e6ffaeb899e544cf629d98f85597b2fe0c87e0f1a403cc0f43ad714,5,fff9cb9dcc3ac735fc25a59f424e98278a731c23ccd57276d292996c2ba7784f,5,pilot,yes,no,18-29,Male,yes,Probably does not,Probably yes,Occasionally,very true,between true and untrue,14,left,left,erotic,true
"4adabf72677bdd4c5b6812dcd3c926406b14a6546b9bbafc00b74621596e9f01 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36",55f315a5-0914-4bff-a47a-c5f9c377b640,ba32b0c91e6ffaeb899e544cf629d98f85597b2fe0c87e0f1a403cc0f43ad714,5,fff9cb9dcc3ac735fc25a59f424e98278a731c23ccd57276d292996c2ba7784f,5,pilot,yes,no,18-29,Male,yes,Probably does not,Probably yes,Occasionally,very true,between true and untrue,15,right,left,neutral,false
"70e369afdd6a2e387fbd77047094ef574da7987d884ee5c8f619c0ca023e3503 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36",55f315a5-0914-4bff-a47a-c5f9c377b640,ba32b0c91e6ffaeb899e544cf629d98f85597b2fe0c87e0f1a403cc0f43ad714,5,fff9cb9dcc3ac735fc25a59f424e98278a731c23ccd57276d292996c2ba7784f,5,pilot,yes,no,18-29,Male,yes,Probably does not,Probably yes,Occasionally,very true,between true and untrue,16,right,right,neutral,true
"b2ebb699160de17e342d58343951cd6012bd70c2effa28f498d3afa773b3b26c Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36",55f315a5-0914-4bff-a47a-c5f9c377b640,ba32b0c91e6ffaeb899e544cf629d98f85597b2fe0c87e0f1a403cc0f43ad714,5,fff9cb9dcc3ac735fc25a59f424e98278a731c23ccd57276d292996c2ba7784f,5,pilot,yes,no,18-29,Male,yes,Probably does not,Probably yes,Occasionally,very true,between true and untrue,17,left,left,neutral,true
"f48b877af127e322738205e086b9ccc5fe1a71b7a796b87dd4f8672387292749 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36",55f315a5-0914-4bff-a47a-c5f9c377b640,ba32b0c91e6ffaeb899e544cf629d98f85597b2fe0c87e0f1a403cc0f43ad714,5,fff9cb9dcc3ac735fc25a59f424e98278a731c23ccd57276d292996c2ba7784f,5,pilot,yes,no,18-29,Male,yes,Probably does not,Probably yes,Occasionally,very true,between true and untrue,18,left,right,neutral,false
"b1868af58eb60150786cd9d4a72e7c8045ced26ba5c1120474282e37fdba7e8f Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36",55f315a5-0914-4bff-a47a-c5f9c377b640,ba32b0c91e6ffaeb899e544cf629d98f85597b2fe0c87e0f1a403cc0f43ad714,5,fff9cb9dcc3ac735fc25a59f424e98278a731c23ccd57276d292996c2ba7784f,5,pilot,yes,no,18-29,Male,yes,Probably does not,Probably yes,Occasionally,very true,between true and untrue,19,left,right,erotic,false
"da747c7203f8ac805b6a4dafff2338604da5980087e2b29264f4fd30eee60368 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36",55f315a5-0914-4bff-a47a-c5f9c377b640,ba32b0c91e6ffaeb899e544cf629d98f85597b2fe0c87e0f1a403cc0f43ad714,5,fff9cb9dcc3ac735fc25a59f424e98278a731c23ccd57276d292996c2ba7784f,5,pilot,yes,no,18-29,Male,yes,Probably does not,Probably yes,Occasionally,very true,between true and untrue,20,left,right,erotic,false
"aa700421de28ea2bb4e27338a25f01f411a9efcaad6b183ce18daf3a75a108ee Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36",55f315a5-0914-4bff-a47a-c5f9c377b640,ba32b0c91e6ffaeb899e544cf629d98f85597b2fe0c87e0f1a403cc0f43ad714,5,fff9cb9dcc3ac735fc25a59f424e98278a731c23ccd57276d292996c2ba7784f,5,pilot,yes,no,18-29,Male,yes,Probably does not,Probably yes,Occasionally,very true,between true and untrue,21,right,right,erotic,true
"4bd8245863068a64228b5f2ff2b37d6762687d34b15ae6cff174a4675e221efa Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36",55f315a5-0914-4bff-a47a-c5f9c377b640,ba32b0c91e6ffaeb899e544cf629d98f85597b2fe0c87e0f1a403cc0f43ad714,5,fff9cb9dcc3ac735fc25a59f424e98278a731c23ccd57276d292996c2ba7784f,5,pilot,yes,no,18-29,Male,yes,Probably does not,Probably yes,Occasionally,very true,between true and untrue,22,left,right,neutral,false
"1b3e7ce4f3b8c3be7bb98684738bee4e6c7c4550c813342e607efca3a70d0c71 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36",55f315a5-0914-4bff-a47a-c5f9c377b640,ba32b0c91e6ffaeb899e544cf629d98f85597b2fe0c87e0f1a403cc0f43ad714,5,fff9cb9dcc3ac735fc25a59f424e98278a731c23ccd57276d292996c2ba7784f,5,pilot,yes,no,18-29,Male,yes,Probably does not,Probably yes,Occasionally,very true,between true and untrue,23,left,right,erotic,false
"aee0b91af68dea1da154744e6a09d480e782895fb48d4bdee407436b8f49db67 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36",55f315a5-0914-4bff-a47a-c5f9c377b640,ba32b0c91e6ffaeb899e544cf629d98f85597b2fe0c87e0f1a403cc0f43ad714,5,fff9cb9dcc3ac735fc25a59f424e98278a731c23ccd57276d292996c2ba7784f,5,pilot,yes,no,18-29,Male,yes,Probably does not,Probably yes,Occasionally,very true,between true and untrue,24,left,left,erotic,true
"ddba9172ea35c5c968e440abe9fc1ce86f843e1f72fe413e611a560120ffa432 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36",55f315a5-0914-4bff-a47a-c5f9c377b640,ba32b0c91e6ffaeb899e544cf629d98f85597b2fe0c87e0f1a403cc0f43ad714,5,fff9cb9dcc3ac735fc25a59f424e98278a731c23ccd57276d292996c2ba7784f,5,pilot,yes,no,18-29,Male,yes,Probably does not,Probably yes,Occasionally,very true,between true and untrue,25,right,right,erotic,true
"daf91ac56fa638216eeb492cc492011e77cba05d994abf5f0da2434ceec04331 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36",55f315a5-0914-4bff-a47a-c5f9c377b640,ba32b0c91e6ffaeb899e544cf629d98f85597b2fe0c87e0f1a403cc0f43ad714,5,fff9cb9dcc3ac735fc25a59f424e98278a731c23ccd57276d292996c2ba7784f,5,pilot,yes,no,18-29,Male,yes,Probably does not,Probably yes,Occasionally,very true,between true and untrue,26,left,right,erotic,false
"fffd931bb38fb683112200fae0fc643228ff884a3a2f853284de7ff239c1aea7 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36",55f315a5-0914-4bff-a47a-c5f9c377b640,ba32b0c91e6ffaeb899e544cf629d98f85597b2fe0c87e0f1a403cc0f43ad714,5,fff9cb9dcc3ac735fc25a59f424e98278a731c23ccd57276d292996c2ba7784f,5,pilot,yes,no,18-29,Male,yes,Probably does not,Probably yes,Occasionally,very true,between true and untrue,27,left,right,erotic,false
"a33ef9e6f0391a6805e0ddf502b0c9a5e63e0bd765a55f496bf10432691eb36c Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36",55f315a5-0914-4bff-a47a-c5f9c377b640,ba32b0c91e6ffaeb899e544cf629d98f85597b2fe0c87e0f1a403cc0f43ad714,5,fff9cb9dcc3ac735fc25a59f424e98278a731c23ccd57276d292996c2ba7784f,5,pilot,yes,no,18-29,Male,yes,Probably does not,Probably yes,Occasionally,very true,between true and untrue,28,right,left,erotic,false
"9e1fcd38f76c1ab4dc1e7541d0e9667b9fefa609843bac9cfe7bf1de8da89fe7 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36",55f315a5-0914-4bff-a47a-c5f9c377b640,ba32b0c91e6ffaeb899e544cf629d98f85597b2fe0c87e0f1a403cc0f43ad714,5,fff9cb9dcc3ac735fc25a59f424e98278a731c23ccd57276d292996c2ba7784f,5,pilot,yes,no,18-29,Male,yes,Probably does not,Probably yes,Occasionally,very true,between true and untrue,29,right,right,neutral,true
"7a1fead77b28357168b321d5059443b18871c3f57e6c47f3c361c3a340ab0660 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36",55f315a5-0914-4bff-a47a-c5f9c377b640,ba32b0c91e6ffaeb899e544cf629d98f85597b2fe0c87e0f1a403cc0f43ad714,5,fff9cb9dcc3ac735fc25a59f424e98278a731c23ccd57276d292996c2ba7784f,5,pilot,yes,no,18-29,Male,yes,Probably does not,Probably yes,Occasionally,very true,between true and untrue,30,right,left,neutral,false
"c8c685050edc604f886e73d8bfe35776362103ed9d205ecda580de3428077174 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36",55f315a5-0914-4bff-a47a-c5f9c377b640,ba32b0c91e6ffaeb899e544cf629d98f85597b2fe0c87e0f1a403cc0f43ad714,5,fff9cb9dcc3ac735fc25a59f424e98278a731c23ccd57276d292996c2ba7784f,5,pilot,yes,no,18-29,Male,yes,Probably does not,Probably yes,Occasionally,very true,between true and untrue,31,right,left,erotic,false
"a3e3e77df4450eeb49b5e63b9fb0d4e53e7710c6537c2cd2ea1449b98a5b48e3 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36",55f315a5-0914-4bff-a47a-c5f9c377b640,ba32b0c91e6ffaeb899e544cf629d98f85597b2fe0c87e0f1a403cc0f43ad714,5,fff9cb9dcc3ac735fc25a59f424e98278a731c23ccd57276d292996c2ba7784f,5,pilot,yes,no,18-29,Male,yes,Probably does not,Probably yes,Occasionally,very true,between true and untrue,32,right,left,neutral,false
"741460882a5cd5694edef817ecaf08cbceae0d58913b2e914e3e4281a6073411 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36",55f315a5-0914-4bff-a47a-c5f9c377b640,ba32b0c91e6ffaeb899e544cf629d98f85597b2fe0c87e0f1a403cc0f43ad714,5,fff9cb9dcc3ac735fc25a59f424e98278a731c23ccd57276d292996c2ba7784f,5,pilot,yes,no,18-29,Male,yes,Probably does not,Probably yes,Occasionally,very true,between true and untrue,33,right,left,neutral,false
"7811bb55133cfe00e2eea1604e8cae24ae71b24074791342a75ef8be4c224af0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36",55f315a5-0914-4bff-a47a-c5f9c377b640,ba32b0c91e6ffaeb899e544cf629d98f85597b2fe0c87e0f1a403cc0f43ad714,5,fff9cb9dcc3ac735fc25a59f424e98278a731c23ccd57276d292996c2ba7784f,5,pilot,yes,no,18-29,Male,yes,Probably does not,Probably yes,Occasionally,very true,between true and untrue,34,right,right,erotic,true
"7abcd56bfcb8f31dfa00930404bd3fd2a8333f13feaaa10af0aa82422f9bd3be Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36",55f315a5-0914-4bff-a47a-c5f9c377b640,ba32b0c91e6ffaeb899e544cf629d98f85597b2fe0c87e0f1a403cc0f43ad714,5,fff9cb9dcc3ac735fc25a59f424e98278a731c23ccd57276d292996c2ba7784f,5,pilot,yes,no,18-29,Male,yes,Probably does not,Probably yes,Occasionally,very true,between true and untrue,35,right,left,neutral,false
"6d9dba6302ab5568246f8cea621184e32393e0f5234e92c1f3871fd8a000a0e7 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36",55f315a5-0914-4bff-a47a-c5f9c377b640,ba32b0c91e6ffaeb899e544cf629d98f85597b2fe0c87e0f1a403cc0f43ad714,5,fff9cb9dcc3ac735fc25a59f424e98278a731c23ccd57276d292996c2ba7784f,5,pilot,yes,no,18-29,Male,yes,Probably does not,Probably yes,Occasionally,very true,between true and untrue,36,left,right,neutral,false
